Year,avgreturn ,lawfulimm,refugee,apprehended,removed,returns
1980,102.03,524295,207116,910361,18013,719211
1981,99.44,595014,159252,975780,17379,823875
1982,102.33,533624,98096,970246,15216,812572
1983,101.58,550052,61218,1251357,19211,931600
1984,100.69,541811,70393,1246981,18696,909833
1985,102.01,568149,67704,1348749,23105,1041296
1986,102.34,600027,62146,1767400,24592,1586320
1987,100.00,599889,64528,1190488,24336,1091203
1988,101.42,641346,76483,1008145,25829,911790
1989,101.76,1090172,107070,954243,34427,830890
1990,99.99,1535872,122066,1169939,30039,1022533
1991,102.40,1826595,113389,1197875,33189,1061105
1992,100.63,973445,115548,1258481,43671,1105829
1993,100.93,903916,114181,1327261,42542,1243410
1994,100.11,803993,111680,1094719,45674,1029107
1995,102.56,720177,98973,1394554,50924,1313764
1996,102.07,915560,75421,1649986,69680,1573428
1997,102.13,797847,69653,1536520,114432,1440684
1998,102.42,653206,76712,1679439,174813,1570127
1999,101.26,644787,85285,1714035,183114,1574863
2000,99.59,841002,72165,1814729,188467,1675876
2001,98.93,1058902,68920,1387486,189026,1349371
2002,98.25,1059356,26785,1062270,165168,1012116
2003,102.17,703542,28286,1046422,211098,945294
2004,100.52,957883,52840,1264232,240665,1166576
2005,100.82,1122257,53738,1291065,246431,1096920
2006,101.06,1266129,41094,1206408,280974,1043381
2007,99.94,1052415,48218,960673,319382,891390
2008,96.61,1107126,60107,1043759,359795,811263
2009,102.55,1130818,74602,889212,379739,582567
2010,101.34,1042625,73293,796587,382449,471798
2011,100.36,1062040,56384,678606,390413,322046
2012,101.29,1031631,58179,795735,415579,231105
2013,101.93,990553,69909,786223,432201,178973
2014,101.08,1016518,69975,805334,405026,163836
2015,99.75,1051031,69920,596560,324303,129636
2016,101.63,1183505,84989,683782,332263,106479
2017,101.88,1127167,53691,607677,284298,100454
2018,99.63,1096611,22405,739486,327554,159960
2019,102.12,1031765,29916,1175841,347183,171125
2020,101.62,707362,11840,609265,237861,167453
2021,101.71,740002,11454,1865379,89191,178227
